id,category,trade_name,generic_name,dosage,notes,is_important,memo
builtin-001,感染症,タミフル,オセルタミビル,2mg/kg/回 1日2回 5日間,異常行動に注意,1,
builtin-002,感染症,イナビル,ラニナミビル,20mg/回 単回吸入（40mg以上は2回）,吸入手技に注意,0,
builtin-003,感染症,ゾフルーザ,バロキサビル,体重20〜80kg未満: 40mg 単回 / 80kg以上: 80mg 単回,12歳未満は慎重投与,0,
builtin-004,感染症,アモキシシリン,アモキシシリン水和物,20〜40mg/kg/日 3分割,,1,
builtin-005,感染症,セフジニル,セフジニル,9〜18mg/kg/日 3分割,,0,
builtin-006,感染症,アジスロマイシン,アジスロマイシン水和物,10mg/kg/日 1回 3日間（最大500mg/日）,,0,
builtin-007,感染症,クラリスロマイシン,クラリスロマイシン,15mg/kg/日 2分割（最大400mg/日）,QT延長症候群禁,0,
builtin-008,感染症,バクトラミン,スルファメトキサゾール・トリメトプリム,TMP 4〜6mg/kg/日 2分割,腎機能注意,0,
builtin-009,感染症,ミノマイシン,ミノサイクリン,2〜4mg/kg/日 2分割,8歳未満禁（歯牙着色）,0,
builtin-010,呼吸器,アスベリン,チペピジンヒベンズ酸塩,1mg/kg/回 1日3回,,0,
builtin-011,呼吸器,ムコダイン,カルボシステイン,30mg/kg/日 3分割,,0,
builtin-012,呼吸器,メプチン,プロカテロール,体重25kg未満: 0.25μg/kg/回 / 25kg以上: 6.25〜12.5μg/回,,1,
builtin-013,呼吸器,テオフィリン,テオフィリン,乳幼児: 4mg/kg/回 1日3回 / 学童: 4〜6mg/kg/回 1日3回,血中濃度測定必須（5〜15μg/mL）,1,
builtin-014,アレルギー・免疫,プレドニゾロン,プレドニゾロン,1〜2mg/kg/日 1〜2分割（クループ: 1mg/kg 単回）,,1,
builtin-015,救急,エピネフリン,アドレナリン,0.01mg/kg 筋注（最大0.5mg）アナフィラキシー時,,1,
builtin-016,神経,ジアゼパム,ジアゼパム,0.3〜0.5mg/kg 直腸内投与（最大10mg）痙攣時,呼吸抑制注意,1,
builtin-017,神経,フェノバルビタール,フェノバルビタール,初回量: 15〜20mg/kg 点滴 / 維持量: 3〜5mg/kg/日 2分割,血中濃度管理（15〜40μg/mL）,1,
builtin-018,解熱鎮痛,アセトアミノフェン,アセトアミノフェン,10〜15mg/kg/回（最大60mg/kg/日）,,1,
builtin-019,解熱鎮痛,イブプロフェン,イブプロフェン,5〜10mg/kg/回（最大40mg/kg/日）,水痘・インフルエンザ禁,1,
builtin-020,炎症,デキサメタゾン,デキサメタゾン,クループ: 0.6mg/kg 単回（最大10mg）,細菌性髄膜炎: 0.15mg/kg/回 6時間毎 4日間,1,
builtin-021,循環器,フロセミド,フロセミド,0.5〜2mg/kg/回 静注（最大40mg） / 経口: 1〜4mg/kg/日,,0,
builtin-022,循環器,ジゴキシン,ジゴキシン,月齢・体重で異なる（要確認）/ 維持量: 0.005〜0.01mg/kg/日 2分割,血中濃度管理（0.8〜2.0ng/mL）,1,
