商品名,一般名,疾患カテゴリ,用量,投与経路,禁忌,注意事項,年齢制限,タグ,参考文献
タミフル,オセルタミビル,感染症,2mg/kg/回 1日2回 5日間,経口,インフルエンザ脳炎禁,異常行動に注意,1歳以上,インフルエンザ,
イナビル,ラニナミビル,感染症,20mg/回 単回吸入（40mg以上は2回）,吸入,，吸入手技に注意,10歳以上,インフルエンザ,
ゾフルーザ,バロキサビル,感染症,体重20〜80kg未満: 40mg 単回，80kg以上: 80mg 単回,経口,，12歳未満は慎重投与,12歳以上,インフルエンザ,
アモキシシリン,アモキシシリン水和物,感染症,20〜40mg/kg/日 3分割,経口,ペニシリンアレルギー禁,,,,
セフジニル,セフジニル,感染症,9〜18mg/kg/日 3分割,経口,セフェムアレルギー禁,,,,
アジスロマイシン,アジスロマイシン水和物,感染症,10mg/kg/日 1回 3日間（最大500mg/日）,経口,,,,,
クラリスロマイシン,クラリスロマイシン,感染症,15mg/kg/日 2分割（最大400mg/日）,経口,QT延長症候群禁,,,,
バクトラミン,スルファメトキサゾール・トリメトプリム,感染症,TMP 4〜6mg/kg/日 2分割,経口,G6PD欠損禁,腎機能注意,,感染症,
ミノマイシン,ミノサイクリン,感染症,2〜4mg/kg/日 2分割,経口,8歳未満禁（歯牙着色）,,8歳以上,,
アスベリン,チペピジンヒベンズ酸塩,呼吸器,1mg/kg/回 1日3回,経口,,,,呼吸器,
ムコダイン,カルボシステイン,呼吸器,30mg/kg/日 3分割,経口,,,,呼吸器,
メプチン,プロカテロール,呼吸器,体重25kg未満: 0.25μg/kg/回，25kg以上: 6.25〜12.5μg/回,吸入/経口,,,,,
テオフィリン,テオフィリン,呼吸器,乳幼児: 4mg/kg/回 1日3回，学童: 4〜6mg/kg/回 1日3回,経口,，血中濃度測定必須（5〜15μg/mL）,,,
プレドニゾロン,プレドニゾロン,アレルギー・免疫,1〜2mg/kg/日 1〜2分割（クループ: 1mg/kg 単回）,経口,,,,,
エピネフリン,アドレナリン,救急,0.01mg/kg 筋注（最大0.5mg）アナフィラキシー時,筋注,,,,,
ジアゼパム,ジアゼパム,神経,0.3〜0.5mg/kg 直腸内投与（最大10mg）痙攣時,直腸,呼吸抑制注意,必要時のみ繰り返し可,,痙攣,
フェノバルビタール,フェノバルビタール,神経,初回量: 15〜20mg/kg 点滴，維持量: 3〜5mg/kg/日 2分割,静注/経口,呼吸抑制注意,血中濃度管理（15〜40μg/mL）,,痙攣,
アセトアミノフェン,アセトアミノフェン,解熱鎮痛,10〜15mg/kg/回（最大60mg/kg/日）,経口/直腸,,,3ヶ月以上,解熱,
イブプロフェン,イブプロフェン,解熱鎮痛,5〜10mg/kg/回（最大40mg/kg/日）,経口,水痘・インフルエンザ禁,,6ヶ月以上,解熱,
デキサメタゾン,デキサメタゾン,炎症,クループ: 0.6mg/kg 単回（最大10mg），細菌性髄膜炎: 0.15mg/kg/回 6時間毎 4日間,経口/静注,,,,,
フロセミド,フロセミド,循環器,0.5〜2mg/kg/回 静注（最大40mg），経口: 1〜4mg/kg/日,静注/経口,,,,,
ジゴキシン,ジゴキシン,循環器,月齢・体重で異なる（要確認），維持量: 0.005〜0.01mg/kg/日 2分割,経口,，血中濃度管理（0.8〜2.0ng/mL），腎機能注意,,循環器,
